size_of_population,tournament_size,mutation_probability,tournament_selection_probability,hypervolume,spread,convergence,fitness,Execution_time,Number_of_solutions,Fdistance_best_value,Fcapacity_best_value,Fdistance_worst_value,Fcapacity_worst_value,Fdistance_average_value,Fcapacity_average_value
167,9,0.147198321,0.993996402,0.865460489,0.127597867,0.235336939,0.502525682,82.33443904,167,62135,45.57777778,96270,85.18571429,73290.26946,58.63084783
138,7,0.118192453,0.917380201,0.73712433,0.157397614,0.078216719,0.501509997,141.7014821,138,58420,44.33492063,93205,82.75238095,70222.13768,57.45391074
166,10,0.128374121,1,0.658379526,0.037684248,0.119206122,0.501489156,123.2465808,166,60685,43.27936508,91825,80.8,70900.24096,56.04240773
125,7,0.098494496,0.889631064,0.875778551,0.207443783,0.216849916,0.451484851,117.4608672,125,62297.5,45.25873016,98015,84.88095238,70576.14,59.61371429
167,9,0.14657323,0.992656921,0.834082984,0.143406169,0.241655026,0.449021789,98.65168285,167,60200,46.95714286,90195,89.6515873,71168.8024,62.8255489
149,7,0.119436218,0.945986719,0.742027342,0.156375851,0.145827996,0.439823494,126.3629365,149,61245,42.62222222,97675,79.15238095,74873.22148,54.73871311
137,7,0.11195937,0.918484365,0.764504027,0.106076434,0.240985848,0.417441746,120.7627168,137,61525,43.94285714,86365,79.97619048,70034.56204,55.7572703
161,9,0.15,0.98842582,0.644075632,0.126770722,0.117211351,0.400093559,111.1861386,161,59280,45.51984127,87655,84.03571429,69447.6087,58.28137139
115,7,0.084485536,0.869988221,0.815028311,0.281586738,0.142991269,0.390450304,107.3768926,115,61955,44.51904762,94660,84.54761905,72290.47826,58.15924086
154,9,0.140543356,0.975251226,0.619388781,0.134534284,0.108676548,0.376177948,140.4755273,154,59095,45.73095238,87580,83.05714286,68027.88961,58.96431148
167,9,0.145317818,0.98716185,0.562386996,0.052040943,0.152657068,0.357688985,88.76922369,167,60560,43.12222222,100160,76.33650794,72935.68862,54.31784051
156,9,0.135099431,0.971475755,0.547647454,0.127706228,0.070325407,0.349615818,134.978452,156,57760,42.3968254,90355,83.84285714,69122.08333,57.25302198
147,9,0.124523675,0.920611084,0.63250513,0.090794324,0.205154993,0.336555812,104.6575451,147,63590,43.51904762,96410,75.95714286,73531.29252,54.81056041
142,9,0.15,0.959737713,0.598797788,0.11835387,0.149666736,0.330777181,83.63039613,142,60550,44.63650794,92625,77.7047619,69766.61972,57.90236977
167,10,0.144261233,1,0.594273661,0.066724211,0.196947924,0.330601526,156.879328,167,62200,45.34444444,92995,77.21428571,71289.5509,57.04804676
